station_id,station_reason,temperature_obs,time_utc,timestamp_pipeline,wind_obs
SN30247,fallback_data,9.1,2026-05-10 14:10:00+00:00,2026-05-10 14:49:31.070340+00:00,
SN30247,fallback_data,9.1,2026-05-10 14:20:00+00:00,2026-05-10 14:49:31.070341+00:00,
SN30247,fallback_data,9.2,2026-05-10 14:30:00+00:00,2026-05-10 14:49:31.070342+00:00,
SN30247,fallback_data,9.2,2026-05-10 14:40:00+00:00,2026-05-10 15:50:11.528682+00:00,
SN30247,fallback_data,10.0,2026-05-10 14:50:00+00:00,2026-05-10 15:50:11.528683+00:00,
SN30247,fallback_data,10.6,2026-05-10 15:00:00+00:00,2026-05-10 15:50:11.528684+00:00,
SN30247,fallback_data,9.4,2026-05-10 15:10:00+00:00,2026-05-10 15:50:11.528685+00:00,
SN30247,fallback_data,9.3,2026-05-10 15:20:00+00:00,2026-05-10 15:50:11.528686+00:00,
SN30247,fallback_data,9.2,2026-05-10 15:30:00+00:00,2026-05-10 15:50:11.528686+00:00,
SN30247,fallback_data,9.9,2026-05-10 15:40:00+00:00,2026-05-10 16:51:18.452656+00:00,
SN30247,fallback_data,10.3,2026-05-10 15:50:00+00:00,2026-05-10 16:51:18.452657+00:00,
SN30247,fallback_data,10.0,2026-05-10 16:00:00+00:00,2026-05-10 16:51:18.452658+00:00,
SN30247,fallback_data,9.8,2026-05-10 16:10:00+00:00,2026-05-10 16:51:18.452659+00:00,
SN30247,fallback_data,9.6,2026-05-10 16:20:00+00:00,2026-05-10 16:51:18.452660+00:00,
SN30247,fallback_data,9.2,2026-05-10 16:30:00+00:00,2026-05-10 16:51:18.452660+00:00,
SN30247,fallback_data,8.9,2026-05-10 16:40:00+00:00,2026-05-10 17:49:11.098787+00:00,
SN30247,fallback_data,8.9,2026-05-10 16:50:00+00:00,2026-05-10 17:49:11.098787+00:00,
SN30247,fallback_data,9.1,2026-05-10 17:00:00+00:00,2026-05-10 17:49:11.098788+00:00,
SN30247,fallback_data,8.9,2026-05-10 17:10:00+00:00,2026-05-10 17:49:11.098789+00:00,
SN30247,fallback_data,8.7,2026-05-10 17:20:00+00:00,2026-05-10 17:49:11.098790+00:00,
SN30247,fallback_data,8.6,2026-05-10 17:30:00+00:00,2026-05-10 17:49:11.098791+00:00,
SN30247,fallback_data,8.5,2026-05-10 17:40:00+00:00,2026-05-10 18:57:21.862681+00:00,
SN30247,fallback_data,8.5,2026-05-10 17:50:00+00:00,2026-05-10 18:57:21.862683+00:00,
SN30247,fallback_data,8.6,2026-05-10 18:00:00+00:00,2026-05-10 18:57:21.862684+00:00,
SN30247,fallback_data,9.1,2026-05-10 18:10:00+00:00,2026-05-10 18:57:21.862685+00:00,
SN30247,fallback_data,9.1,2026-05-10 18:20:00+00:00,2026-05-10 18:57:21.862685+00:00,
SN30247,fallback_data,8.8,2026-05-10 18:30:00+00:00,2026-05-10 18:57:21.862686+00:00,
